high,low,medium,listing_id
0.08663344,0.47706196,0.43630466,7142618
0.246921,0.3568459,0.39623308,7210040
0.097561434,0.59809357,0.30434504,7174566
0.4036269,0.23078224,0.36559087,7191391
0.014387216,0.8465911,0.13902164,7171695
0.007494407,0.82927805,0.16322756,7225206
0.032747705,0.7729266,0.19432572,7200075
0.14810981,0.49031386,0.36157635,7145074
0.029708114,0.7941659,0.17612599,7193645
0.001263244,0.9853483,0.013388466,7147703
0.021228276,0.83969694,0.13907474,7182218
0.010633191,0.87113786,0.11822896,7132136
0.06356651,0.5521522,0.38428125,7130670
0.0010616763,0.98795277,0.010985573,7151855
0.007985358,0.9356919,0.05632272,7158358
0.06967134,0.7792487,0.15107992,7221001
0.39801955,0.1595285,0.44245198,7100305
0.1200926,0.48875633,0.391151,7096581
0.049047653,0.44972646,0.5012259,7177904
0.28594413,0.333963,0.38009283,7122823
0.002640911,0.9733681,0.023990955,7183502
0.058962464,0.49239433,0.44864327,7170627
0.123367324,0.5414229,0.33520976,7154826
0.0014963193,0.9691449,0.029358754,7155276
0.06367463,0.72189754,0.21442784,7126641
0.23827404,0.41848606,0.34323993,7096119
0.036520883,0.73831546,0.22516367,7197172
0.06891787,0.6570554,0.2740268,7189973
0.19488294,0.52510995,0.2800071,7123008
0.052085087,0.75722384,0.19069107,7146900
0.02817101,0.77502817,0.1968008,7109717
0.048639804,0.7840785,0.1672817,7129938
0.0009765356,0.95858806,0.040435363,7107178
0.022225322,0.87427825,0.10349643,7176321
0.07669323,0.6689758,0.25433105,7128745
0.13290551,0.42049453,0.4466,7142399
0.031456083,0.80243117,0.1661128,7173397
0.19485717,0.39089063,0.41425225,7097445
0.0015167239,0.9792627,0.019220538,7176649
0.032483283,0.69831985,0.26919687,7217973
0.04678497,0.72845805,0.224757,7181413
0.012557213,0.88066196,0.106780805,7131045
0.10470046,0.4213427,0.4739568,7227600
0.004402548,0.9676665,0.027930936,7152410
0.11498431,0.47324097,0.41177472,7164630
0.04939549,0.64256185,0.30804262,7233385
0.069301054,0.6262881,0.3044108,7132168
0.0035425075,0.89075625,0.105701186,7177475
0.00081688986,0.9823872,0.016795903,7195866
0.004795026,0.97562,0.01958501,7128348
0.091522455,0.47451124,0.4339663,7127663
0.01669474,0.86675763,0.11654759,7224803
0.111664005,0.5559909,0.3323451,7175018
0.10233136,0.43914413,0.45852447,7172595
0.06218276,0.66032445,0.27749276,7109912
0.30944696,0.2928651,0.39768797,7138297
0.03255363,0.81679124,0.15065514,7092476
0.020251153,0.8372381,0.14251079,7089303
0.02208577,0.53808534,0.4398289,7125155
0.013966131,0.85846955,0.12756433,7220062
0.11510342,0.49966636,0.38523024,7106449
0.07662935,0.5795344,0.3438362,7128225
0.0010470262,0.97970366,0.019249272,7195250
0.035770334,0.6269585,0.33727118,7218672
0.016244994,0.88655573,0.09719931,7196783
0.01238397,0.88665944,0.100956574,7103890
0.08822234,0.65874803,0.2530296,7091781
0.003909988,0.95756453,0.038525544,7188560
0.15656492,0.4512127,0.39222237,7158435
0.09949804,0.52168375,0.3788182,7174040
0.29071796,0.36473933,0.34454265,7090560
0.0015610848,0.9742555,0.024183352,7176342
0.02837001,0.84369516,0.12793486,7192962
0.018481588,0.8384774,0.14304103,7097397
0.030164402,0.81507957,0.15475608,7145866
0.00087014923,0.9799595,0.019170424,7206754
0.02972053,0.67705184,0.29322758,7138175
0.00038659753,0.98019755,0.019415898,7149594
0.017710652,0.718971,0.2633183,7156633
0.11083023,0.43704426,0.4521255,7105345
0.2692704,0.26232216,0.46840745,7213632
0.024511479,0.80313617,0.17235237,7183113
0.23222445,0.3618996,0.40587598,7140000
0.03340637,0.7117319,0.25486174,7195613
0.13104157,0.41402772,0.4549307,7105115
0.0030288012,0.9432277,0.053743497,7160348
0.003757313,0.9433497,0.05289298,7160614
0.018450763,0.8406209,0.14092833,7092337
0.0065113935,0.919459,0.074029565,7147336
0.026964812,0.87981963,0.0932155,7218407
0.22479124,0.29892692,0.47628182,7153777
0.114411145,0.6107824,0.2748065,7105692
0.051517405,0.7980603,0.15042235,7182783
0.003485717,0.82886666,0.16764763,7175581
0.2589022,0.3857617,0.35533613,7178664
0.23386523,0.33023977,0.435895,7211063
0.060630552,0.6336376,0.30573183,7224728
0.097118445,0.5026478,0.40023375,7102627
0.104537815,0.5059645,0.3894977,7092248
0.043822847,0.7523919,0.20378527,7207732
0.024838502,0.76086134,0.21430019,7103067
0.06517488,0.52639186,0.4084333,7229817
0.07465129,0.6964476,0.22890104,7172753
0.019416228,0.7228666,0.2577172,7125988
0.008223217,0.95353967,0.038237125,7091708
0.36952254,0.2697972,0.36068022,7120982
0.034727424,0.8027157,0.16255684,7200404
0.043081176,0.63970286,0.31721595,7134396
0.35271695,0.22438614,0.4228969,7094055
0.060507435,0.69658244,0.24291016,7220352
0.0351528,0.76423216,0.20061505,7097260
0.040644705,0.7069498,0.2524055,7132074
0.0050528483,0.91421694,0.08073024,7195758
0.007272213,0.9147071,0.07802071,7218227
8.4347135e-05,0.99813604,0.0017795963,7191025
0.43490425,0.1141998,0.4508959,7152268
0.032629594,0.709036,0.25833443,7210298
